x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
-0.7644,0.0801,-1.6521,1.0259,1.2956,-0.3797,-1.0425,-0.1253,-1.6073,0.1615,4.1175
-0.6747,-0.5429,-0.8221,0.0357,-1.2914,0.1,1.3899,0.5565,-1.1134,-0.7605,1.5526
-0.096,1.0034,-1.3063,-1.5403,-0.7314,0.4793,-0.3431,0.3648,0.3228,-0.037,2.8387
0.4595,-1.0983,-0.3497,0.3401,0.0606,1.596,-0.128,-0.7387,1.0618,-0.7299,0.0565
-0.2215,0.4349,-0.8108,-0.7089,-0.9663,-0.2096,0.574,-0.2063,-0.6205,-0.0621,1.0692
-0.2907,-0.4198,0.4405,0.3736,0.7995,-0.0975,1.2018,-0.5892,0.4591,0.3313,1.1462
-0.9858,0.3142,0.1083,-0.9866,1.1615,0.5392,-0.2033,1.1562,1.2678,0.7034,0.8137
2.1764,-0.5867,0.9789,0.8342,-0.7096,-0.7013,-0.7608,-1.2746,-1.0888,-1.0244,1.9533
-0.112,-1.5408,3.4579,-0.6156,-2.1707,-0.3408,0.7215,0.455,-0.4058,-0.3711,16.966
-1.1254,0.1915,-0.3768,-0.1873,-1.301,1.4402,0.5247,0.4093,0.1365,-0.4611,1.7485
-1.8644,-1.8441,0.7177,0.7649,1.6648,-0.2191,0.4128,0.0199,-0.0338,-2.4397,3.2143
0.1672,-1.1918,-1.3017,-0.387,-1.1256,-0.2997,0.9385,-1.9441,0.1277,-0.7024,2.7135
-0.8636,0.4287,-0.523,-0.5539,-0.4257,0.9166,-1.474,1.825,-1.2519,-1.0066,0.8966
-0.153,0.0579,-0.0146,0.1823,0.221,-2.2315,0.217,-0.1399,0.9854,-0.4019,-0.0588
-1.5501,0.9194,0.935,-0.1505,-1.0991,-0.587,0.2832,-1.2549,-0.6054,-0.5489,2.5185
0.7764,-0.6942,1.9731,-2.5938,0.2892,0.0032,-0.7701,0.8486,0.988,1.0323,3.8578
0.6265,0.0786,0.6449,-0.6633,2.8343,-0.2122,0.128,-0.2723,0.4169,-1.3455,8.6497
-0.283,-0.3201,-0.057,-1.1521,0.2524,-2.0894,-0.9702,-0.458,-1.103,0.1207,-0.0648
0.0667,0.7536,-0.1458,1.0918,-1.8808,-1.4476,0.7971,-1.0768,-0.1318,-0.3072,4.1731
-0.615,-0.6303,1.1807,0.3349,0.7578,2.6824,1.1306,0.4785,-0.3413,-0.643,2.012
-0.6965,1.1008,1.765,-0.1081,-0.3607,-2.1326,-0.2327,-0.5284,-0.4543,-0.1914,3.1504
0.635,0.1555,-0.7552,-0.8654,-0.847,-0.2604,-0.2905,-0.0025,-0.9785,1.4866,1.6454
1.8574,0.493,1.642,-0.6528,0.3742,1.1693,-0.0012,0.0083,-1.3168,0.3147,2.5359
